Pt,EasyCap,Mobita,Fp1_E,Fp2_E,F7_E,F3_E,Fz_E,F4_E,F8_E,FC5_E,FC1_E,FC2_E,FC6_E,T7_E,C3_E,Cz_E,C4_E,T8_E,CP5_E,CP1_E,CP2_E,CP6_E,P7_E,P3_E,Pz_E,P4_E,P8_E,POz_E,O1_E,O2_E,Fp1_M,Fp2_M,F7_M,F3_M,Fz_M,F4_M,F8_M,FC5_M,FC1_M,FC2_M,FC6_M,T7_M,C3_M,Cz_M,C4_M,T8_M,CP5_M,CP1_M,CP2_M,CP6_M,P7_M,P3_M,Pz_M,P4_M,P8_M,POz_M,O1_M,O2_M
1,2,Pilot01,0.058296,0.026625,0.061465,0.031905,0.01559,0.03321,0.052866,0.041831,0.018401,0.014535,0.036432,0.17305,0.014148,0.023068,0.022902,0.199168,0.025121,0.0103,0.007543,0.017057,0.045393,0.011293,0.01076,0.016331,0.015836,0.013473,0.057886,0.032827,0.116766,0.067563,0.045555,0.029702,0.025519,0.020615,0.037762,0.031016,0.016633,0.017596,0.019536,0.093165,0.013265,0.012126,0.019829,0.047817,0.004553,0.009555,0.006629,0.02218,0.062173,0.023798,0.021449,0.022555,0.079203,0.046867,0.183229,0.159381
2,11,Piloto5,0.095434,0.109802,0.087401,0.042995,0.027192,0.048588,0.086248,0.04758,0.030784,0.030755,0.072843,0.052729,0.024604,0.026719,0.022094,0.131934,0.02511,0.015669,0.012315,0.018858,0.048684,0.023173,0.015992,0.027032,0.046007,0.050787,0.132106,0.120674,0.175676,1.033089,0.029548,0.057324,0.042795,0.103256,0.154653,0.061167,0.120409,0.064405,0.15822,0.132325,0.037967,0.029078,0.029571,0.269618,0.050797,0.020875,0.0167,0.079448,0.057219,0.03596,0.036549,0.057966,0.65912,0.078917,0.263904,0.522238
3,17,Pilot03,0.323233,0.792858,0.357051,0.195956,0.11009,0.138499,0.15518,0.118378,0.098251,0.082223,0.103681,0.113062,0.099689,0.12654,0.128098,0.146849,0.074274,0.044627,0.054559,0.109988,0.137549,0.06287,0.04715,0.068877,0.163688,0.081289,0.139399,0.130493,0.076188,0.089943,0.105292,0.123554,0.092548,0.086022,0.111014,0.083512,0.102956,0.084565,0.083801,0.100215,0.10681,0.120263,0.140713,0.18527,0.067444,0.073805,0.05423,0.081888,0.143806,0.066771,0.052052,0.065191,0.149494,0.078376,0.120185,0.079338
4,19,Pilot09,0.098793,0.141585,0.135275,0.045256,0.070561,0.062017,0.148881,0.043576,0.032201,0.042476,0.047716,0.459817,0.035285,0.041257,0.028426,0.164576,0.053919,0.019301,0.020433,0.03867,0.131216,0.048387,0.028886,0.032157,0.099122,0.048116,0.083602,0.07088,0.10623,0.156535,0.085051,0.064437,0.042807,0.078985,0.195424,0.05438,0.049419,0.066677,0.047997,0.095412,0.052549,0.049596,0.043206,0.066611,0.08198,0.053005,0.044073,0.045572,0.786805,0.091163,0.028891,0.042994,0.07564,0.125105,0.051968,0.075844
5,20,Pilot08,0.067114,0.054022,0.044977,0.009753,0.009574,0.009262,0.020775,0.018221,0.011918,0.010948,0.009201,0.023961,0.013086,0.017157,0.006682,0.022967,0.011322,0.010342,0.007421,0.005953,0.021805,0.013396,0.013178,0.006355,0.011132,0.015388,0.044129,0.019459,0.591346,0.687172,0.041976,0.023007,0.019054,0.046181,0.145534,0.013302,0.021222,0.011163,0.016681,0.046719,0.011838,0.027095,0.015797,0.015623,0.031227,0.018823,0.01874,0.018299,0.066312,0.030561,0.021426,0.025971,0.040821,0.043794,0.107217,0.081235
6,21,Pilot04,0.250134,0.368254,0.069163,0.086928,0.032812,0.0929,0.108986,0.201587,0.027412,0.022427,0.107687,0.389438,0.073788,0.016989,0.049248,0.111292,0.038627,0.023241,0.017187,0.023195,0.053341,0.031736,0.024508,0.022765,0.036128,0.039649,0.06803,0.047817,0.130522,0.141141,0.294547,0.403522,0.706111,0.667573,0.269659,0.060006,0.773886,0.281736,0.186573,0.213285,0.107666,0.072814,0.059894,0.250126,0.104933,0.241292,0.228649,0.105116,0.101796,0.159932,0.094078,0.190818,0.110389,0.097133,0.135574,0.11684
7,24,Pilot07,0.273251,0.118249,0.117452,0.028913,0.030819,0.065852,0.123793,0.139101,0.036953,0.053108,0.082121,0.174925,0.044261,0.049464,0.067872,0.099845,0.068374,0.029495,0.031262,0.059419,0.381432,0.039531,0.028207,0.024996,0.100982,0.034836,0.313639,0.169706,0.095605,0.027728,0.11215,0.180017,0.058996,0.117873,0.092692,0.114818,0.045193,0.085499,0.24896,0.217432,0.03868,0.041141,0.037548,0.244945,0.077425,0.100996,0.040902,0.043063,0.203788,0.06611,0.062014,0.069581,0.218952,0.074793,0.293823,0.41076
8,25,Pilot06,0.492882,0.152552,0.330782,0.109946,0.047352,0.15501,0.372882,0.052298,0.030065,0.02495,0.087029,0.600636,0.014714,0.028814,0.05481,0.091224,0.031157,0.014972,0.033554,0.023739,0.060509,0.040805,0.018518,0.03618,0.079034,0.045249,0.080155,0.085474,0.640744,0.957779,0.428126,0.245921,0.072192,0.378067,0.642792,0.325559,0.062082,0.20194,0.137265,0.334978,1.017843,0.0652,0.37195,0.345994,0.244218,0.052424,0.035276,0.043916,0.133736,0.06972,0.050496,0.051255,0.099029,0.084073,0.085929,0.105234
9,32,Pliot10,1.381888,1.979952,0.24628,0.203634,0.189045,0.450538,0.922621,1.115819,0.114338,0.130458,1.126164,4.196757,0.16831,0.104857,0.175679,1.824657,0.235056,0.047219,0.044172,0.198621,0.415181,0.067483,0.065134,0.059168,0.438915,0.072528,0.106961,0.104804,0.656053,1.440156,0.5656,0.245437,0.151176,0.812321,0.353541,0.277434,0.139673,0.092457,0.156825,0.466978,0.072051,0.072297,0.060062,0.442457,0.147323,0.068055,0.058417,0.280647,0.916776,0.124219,0.088326,0.111518,0.674224,0.134915,0.188483,0.203661
10,43,Pilot02,0.123976,0.076397,0.031326,0.045099,0.060732,0.055331,0.054586,0.047298,0.0704,0.099299,0.060423,0.12751,0.044547,0.106131,0.057384,0.086344,0.050672,0.059184,0.05481,0.036476,0.103234,0.051315,0.046063,0.038757,0.067748,0.05071,0.093118,0.052703,0.617035,0.292307,0.078752,0.018871,0.017797,0.055837,0.153743,0.063125,0.032379,0.020736,0.100298,0.182116,0.043354,0.031341,0.103648,0.332494,0.078077,0.016512,0.046857,0.178395,0.122814,0.041972,0.029842,0.055102,0.084531,0.0384,0.108382,0.023472
