Pt,EasyCap,Mobita,Fp1_E,Fp2_E,F7_E,F3_E,Fz_E,F4_E,F8_E,FC5_E,FC1_E,FC2_E,FC6_E,T7_E,C3_E,Cz_E,C4_E,T8_E,CP5_E,CP1_E,CP2_E,CP6_E,P7_E,P3_E,Pz_E,P4_E,P8_E,POz_E,O1_E,O2_E,Fp1_M,Fp2_M,F7_M,F3_M,Fz_M,F4_M,F8_M,FC5_M,FC1_M,FC2_M,FC6_M,T7_M,C3_M,Cz_M,C4_M,T8_M,CP5_M,CP1_M,CP2_M,CP6_M,P7_M,P3_M,Pz_M,P4_M,P8_M,POz_M,O1_M,O2_M
1,2,Pilot01,0.071716,0.042352,0.076918,0.034724,0.0298,0.052859,0.077262,0.0623,0.025129,0.027284,0.066566,0.128507,0.026583,0.050579,0.049865,0.202715,0.050694,0.024019,0.017915,0.037432,0.086032,0.026597,0.025789,0.031349,0.02616,0.028276,0.079297,0.050683,0.120187,0.081355,0.05354,0.046292,0.034125,0.032085,0.05374,0.039123,0.024125,0.029517,0.029029,0.084661,0.023092,0.018935,0.034762,0.043185,0.006988,0.016342,0.009141,0.04233,0.101775,0.041102,0.032696,0.027936,0.093383,0.066743,0.20838,0.210187
2,11,Piloto5,0.136173,0.181575,0.119245,0.068813,0.057918,0.074747,0.127194,0.07686,0.065238,0.057084,0.119322,0.099388,0.049013,0.053214,0.044574,0.205728,0.058307,0.037351,0.02958,0.046012,0.117508,0.059641,0.052695,0.060655,0.118813,0.143589,0.24491,0.228765,0.282944,1.794988,0.053195,0.117371,0.100333,0.216466,0.292704,0.118292,0.223279,0.107087,0.279788,0.250523,0.081393,0.065663,0.064167,0.537338,0.114972,0.056548,0.041556,0.155079,0.144102,0.089551,0.125214,0.148152,1.548357,0.232473,0.382248,0.926062
3,17,Pilot03,0.378905,0.676517,0.493377,0.322578,0.193367,0.229249,0.273497,0.248886,0.186497,0.166675,0.228386,0.26823,0.347124,0.13383,0.344769,0.347361,0.225611,0.122054,0.134447,0.305673,0.347488,0.19984,0.169027,0.239475,0.518594,0.386482,0.744147,0.611383,0.146877,0.164974,0.220103,0.282923,0.197892,0.205645,0.183969,0.203579,0.207261,0.196048,0.194556,0.25199,0.399248,0.162868,0.399965,0.386985,0.22664,0.249224,0.172952,0.242446,0.491631,0.296312,0.272948,0.288544,0.479522,0.489026,0.488068,0.351127
4,19,Pilot09,0.163621,0.230784,0.248192,0.080676,0.150832,0.112426,0.206085,0.066143,0.059413,0.083154,0.078868,0.739133,0.060674,0.072128,0.053449,0.23621,0.083239,0.044477,0.047426,0.066862,0.208803,0.107551,0.086426,0.076072,0.186863,0.156306,0.215951,0.164911,0.21425,0.286152,0.171606,0.138571,0.087657,0.148524,0.224095,0.10682,0.098094,0.132046,0.096522,0.189264,0.118701,0.100438,0.103334,0.145267,0.139248,0.117362,0.113904,0.114735,1.715827,0.093686,0.098099,0.120512,0.174319,0.21864,0.123177,0.136092
5,20,Pilot08,0.131026,0.120952,0.066155,0.017729,0.016978,0.015432,0.040983,0.025484,0.022506,0.019136,0.018361,0.052814,0.0288,0.031257,0.010859,0.047611,0.023904,0.022849,0.014111,0.011803,0.039962,0.029666,0.028159,0.01571,0.029347,0.034695,0.064106,0.035241,1.070312,1.257066,0.068341,0.042534,0.036051,0.087306,0.267059,0.021632,0.039357,0.019396,0.035003,0.099263,0.021331,0.049012,0.02629,0.02479,0.068052,0.033877,0.030833,0.03503,0.148864,0.060224,0.03807,0.049336,0.088856,0.078531,0.179147,0.147589
6,21,Pilot04,0.246992,0.318625,0.066836,0.075561,0.055533,0.103381,0.123504,0.176566,0.043245,0.046013,0.111206,0.288339,0.07117,0.029574,0.058746,0.114048,0.059583,0.032941,0.027656,0.034332,0.092738,0.050013,0.045876,0.041868,0.054809,0.077505,0.114557,0.085449,0.200581,0.216552,0.550704,0.796809,1.073819,0.909122,0.385607,0.103331,1.581948,0.567888,0.213032,0.261918,0.155374,0.148241,0.118997,0.388562,0.175436,0.383726,0.368776,0.20092,0.185353,0.262174,0.203676,0.315374,0.230989,0.203169,0.279483,0.26984
7,24,Pilot07,0.366815,0.19307,0.121813,0.044096,0.067468,0.087308,0.140823,0.125163,0.083796,0.10206,0.107375,0.201314,0.098164,0.119172,0.115207,0.149136,0.122405,0.103877,0.091482,0.116348,0.460612,0.105136,0.086415,0.089211,0.261235,0.118779,0.395839,0.240883,0.154425,0.047118,0.174137,0.280283,0.117642,0.230367,0.134748,0.22353,0.104077,0.171033,0.502109,0.386119,0.102784,0.112762,0.084736,0.348554,0.180779,0.254945,0.098031,0.116296,0.377763,0.161166,0.157702,0.194363,0.426442,0.158988,0.495011,0.818778
8,25,Pilot06,0.317022,0.189823,0.227382,0.084666,0.071644,0.135387,0.242448,0.066062,0.035696,0.04913,0.081538,0.598525,0.029784,0.043587,0.068965,0.146051,0.066465,0.027405,0.051227,0.051767,0.142745,0.061979,0.046771,0.061048,0.209373,0.108801,0.175196,0.16669,0.641337,0.848462,0.217167,0.219531,0.058057,0.179978,0.392646,0.385941,0.071578,0.235135,0.094794,0.262396,1.051113,0.127343,0.346938,0.392904,0.326234,0.044776,0.055927,0.050318,0.231288,0.135949,0.080377,0.074521,0.108062,0.07813,0.118035,0.140121
9,32,Pliot10,0.787609,0.897622,0.222761,0.215332,0.19291,0.30208,0.774947,0.996939,0.172287,0.175255,1.09444,1.890874,0.230967,0.168685,0.256106,1.599241,0.317053,0.10768,0.096304,0.294163,0.680586,0.126833,0.077565,0.11086,0.768388,0.067563,0.167025,0.161278,0.60869,1.011962,0.715191,0.387071,0.241163,0.789241,0.353096,0.376815,0.269088,0.167506,0.218629,0.640288,0.175069,0.140065,0.172325,0.690753,0.260364,0.161279,0.148618,0.398835,1.291612,0.233775,0.225142,0.243708,0.929542,0.251184,0.275346,0.336881
10,43,Pilot02,0.154817,0.084958,0.044235,0.055667,0.086834,0.064187,0.10112,0.074658,0.09536,0.12232,0.09695,0.201516,0.07118,0.120589,0.089818,0.172622,0.08023,0.084481,0.080076,0.057722,0.15191,0.081609,0.070948,0.06162,0.131496,0.101957,0.119277,0.091496,0.545891,0.330378,0.107967,0.027379,0.024847,0.06793,0.1591,0.086938,0.034684,0.025816,0.108406,0.251959,0.061801,0.028705,0.143499,0.470388,0.096848,0.02416,0.062388,0.239703,0.185058,0.050577,0.043703,0.068968,0.136439,0.054724,0.139601,0.02599
