Pt,EasyCap,Mobita,Fp1_E,Fp2_E,F7_E,F3_E,Fz_E,F4_E,F8_E,FC5_E,FC1_E,FC2_E,FC6_E,T7_E,C3_E,Cz_E,C4_E,T8_E,CP5_E,CP1_E,CP2_E,CP6_E,P7_E,P3_E,Pz_E,P4_E,P8_E,POz_E,O1_E,O2_E,Fp1_M,Fp2_M,F7_M,F3_M,Fz_M,F4_M,F8_M,FC5_M,FC1_M,FC2_M,FC6_M,T7_M,C3_M,Cz_M,C4_M,T8_M,CP5_M,CP1_M,CP2_M,CP6_M,P7_M,P3_M,Pz_M,P4_M,P8_M,POz_M,O1_M,O2_M
1,2,Pilot01,0.482184,0.342463,0.50461,0.104294,0.250803,0.323259,0.403862,0.279153,0.134868,0.263509,0.314431,0.2493,0.131124,0.673415,0.43813,0.286708,0.203614,0.268203,0.193027,0.183049,0.340306,0.14685,0.288679,0.173817,0.120306,0.214681,0.298133,0.310252,0.541938,0.44294,0.28676,0.320131,0.163245,0.170491,0.304904,0.229474,0.180138,0.219487,0.144834,0.321689,0.176362,0.23193,0.334176,0.119352,0.056351,0.157665,0.083961,0.37528,0.45521,0.267916,0.286746,0.147834,0.323632,0.300785,0.461973,1.223341
2,11,Piloto5,0.732864,1.08502,0.51662,0.429883,0.51063,0.422757,0.817584,0.369522,0.683867,0.539799,0.442043,0.569411,0.411668,0.73262,0.28502,0.755822,0.327487,0.351647,0.244162,0.291154,0.590211,0.290106,0.273107,0.279196,0.768115,0.509476,0.786624,0.858362,2.283036,14.648681,0.393406,1.01917,0.910805,1.871312,2.78049,0.999633,1.892386,0.78358,1.644791,1.054325,0.799424,0.88853,0.568782,5.600191,0.922994,0.444706,0.323523,1.059789,0.796456,0.551581,0.56369,0.941518,21.013908,0.78769,1.121406,8.159287
3,17,Pilot03,0.489162,0.511524,1.05078,1.007039,1.272699,1.002591,0.762614,0.759159,1.057434,0.901722,0.559466,0.673719,0.579359,0.786835,0.541966,0.68153,0.414252,0.422754,0.486692,0.644718,0.807529,0.590348,0.595694,0.774678,1.695728,0.986638,1.817661,1.67208,0.418645,0.418456,0.974898,1.019288,1.299324,0.956317,0.668337,0.616999,1.242724,1.130458,0.694903,0.683784,0.887214,0.896445,1.17859,0.793872,0.496531,0.620121,0.501146,0.551618,1.223558,0.803285,0.698362,0.968096,2.013679,1.327518,1.256986,1.201615
4,19,Pilot09,0.361812,0.374393,0.906762,0.263095,0.477354,0.208021,0.297963,0.163614,0.299912,0.314419,0.154454,0.247857,0.114383,0.352004,0.117179,0.220978,0.144234,0.157991,0.151477,0.161999,0.415632,0.256265,0.225981,0.194617,0.407384,0.315365,0.458951,0.378276,0.930826,1.282447,1.361655,1.124954,0.570539,0.943158,1.148223,0.467455,0.503206,1.018952,0.505197,0.607299,0.676899,0.62059,0.453416,0.576992,0.827119,1.897293,0.947472,0.456375,19.308199,0.407761,0.39907,0.583107,0.652238,1.315392,0.409308,0.587382
5,20,Pilot08,1.393206,1.651737,0.391956,0.147478,0.282824,0.14971,0.695125,0.192782,0.447797,0.366354,0.185608,0.276339,0.4024,0.536376,0.084188,0.434829,0.220961,0.305636,0.159991,0.11654,0.241555,0.270073,0.289915,0.14405,0.416542,0.223502,0.286537,0.221671,8.073544,9.976717,0.41545,0.304429,0.315967,0.453476,1.821082,0.16342,0.59952,0.227175,0.267997,0.816652,0.222569,0.604116,0.158899,0.13785,0.558465,0.289367,0.19461,0.254166,1.194514,0.403364,0.222386,0.372308,0.879093,0.471259,1.066332,0.971722
6,21,Pilot04,0.461724,0.778484,0.3549,0.219342,0.235805,0.426573,0.309034,0.148288,0.234671,0.315724,0.227342,0.23198,0.101585,0.210844,0.115345,0.181128,0.141504,0.137756,0.157894,0.099816,0.319202,0.173837,0.219472,0.183206,0.25729,0.340214,0.388672,0.32749,1.659385,2.026718,6.269461,9.489828,10.079876,9.79826,3.012181,0.953339,19.085939,6.78304,0.773755,1.916032,1.110894,1.623159,1.035404,2.838806,1.430403,3.593097,3.348507,1.977927,1.30187,2.565923,2.327552,2.994204,2.531936,1.950119,2.08639,2.669332
7,24,Pilot07,1.130826,0.818198,0.495133,0.239254,0.403525,0.342207,0.53866,0.320544,0.512879,0.642454,0.403667,0.652126,0.39888,0.697041,0.398644,0.546269,0.421793,0.626945,0.636231,0.387155,0.899513,0.332271,0.475527,0.318909,0.748633,0.346038,0.874348,0.685796,1.118386,0.283627,1.739792,1.89279,0.846912,2.874207,1.009983,1.799349,0.773211,1.680784,6.170062,2.230562,0.524442,0.829986,0.424939,0.885594,1.95654,2.811794,0.631002,0.63162,2.397413,1.134505,1.033897,1.180789,2.930324,0.848728,3.202079,6.415939
8,25,Pilot06,0.623082,0.677406,0.50389,0.202038,0.439552,0.756074,0.542433,0.271088,0.154557,0.416337,0.311631,0.845592,0.168485,0.367405,0.260601,0.260485,0.408413,0.122121,0.194071,0.217378,0.681654,0.318717,0.22522,0.185522,0.813669,0.444598,0.682429,0.623603,4.311458,5.732918,0.895352,3.130605,0.501095,0.476015,1.873331,1.891295,0.558452,2.679742,0.375225,1.155069,4.067931,1.49797,1.821146,1.4854,5.319425,0.228286,0.48666,0.276832,1.146569,1.094592,0.629301,0.472356,0.525053,0.369966,0.661257,0.903535
9,32,Pliot10,0.760068,0.979968,0.305799,0.424204,0.859689,0.439791,0.684622,0.305182,0.638965,0.633354,0.411326,1.049126,0.400336,0.632871,0.391054,0.718639,0.574431,0.347798,0.284322,0.433379,1.035573,0.362742,0.188036,0.273587,1.351753,0.125618,0.517755,0.412563,0.447108,1.210483,1.318396,1.911875,1.112459,0.748312,1.410366,0.643085,2.143887,0.692706,0.549065,1.775932,0.420246,0.677057,0.406218,1.521385,0.58431,0.477512,0.410313,1.954721,1.944976,0.734878,0.660514,0.731221,1.711497,0.879219,0.663218,1.460833
10,43,Pilot02,0.454836,0.286833,0.177624,0.277115,0.578818,0.281536,0.340613,0.226414,0.545929,0.898437,0.328762,0.671009,0.239164,1.082062,0.329946,0.598238,0.290314,0.483663,0.412637,0.187805,0.754482,0.283607,0.290644,0.268865,0.542341,0.472197,0.596805,0.509506,2.501376,1.837469,0.394468,0.09142,0.146863,0.239543,0.622052,0.364986,0.147185,0.145695,0.395429,0.805706,0.263598,0.181178,0.406953,0.684389,0.486392,0.101514,0.198623,0.510356,0.736121,0.254822,0.206461,0.263778,0.537073,0.200737,0.580275,0.103403
