EasyCap,Mobita,RMS_E_all,RMS_M_all,RMS_E_subset,RMS_M_subset
2,Pilot01,14.975519,13.800188,11.938293,9.772789
11,Piloto5,12.273445,58.578396,9.987293,24.303484
17,Pilot03,13.153258,21.70241,11.473369,16.458824
19,Pilot09,13.214996,30.298027,9.990287,24.60047
20,Pilot08,16.435989,23.565449,9.825456,11.206358
21,Pilot04,13.463702,90.033615,10.728801,97.516823
24,Pilot07,15.882357,71.61998,14.084472,68.598495
25,Pilot06,11.177497,20.037321,7.828424,17.289486
32,Pliot10,14.512732,26.583477,11.982706,25.009825
43,Pilot02,13.335056,10.58717,10.880723,8.212142
