Pt,EasyCap,Mobita,E_CorrEp,M_CorrEp,Matched_CorrEp,E_ErrEp,M_ErrEp,Matched_ErrEp,E_AllEp,M_AllEp,Matched_AllEp,Blocks,E_Interp_Ch,M_Interp_Ch,E_Rej_Comp,M_Rej_Comp,E_Rej_CorrEp,M_Rej_CorrEp,E_Rej_ErrEp,M_Rej_ErrEp,E_Rej_AllEp,M_Rej_AllEp
1,2,Pilot01,458,516,458,137,50,50,596,585,585,4,0,0,2,5,2,4,2,0,3,9
2,11,Piloto5,551,451,451,45,32,32,595,433,433,4,0,0,3,3,2,103,0,2,3,160
3,17,Pilot03,559,572,559,37,7,7,593,583,583,4,0,0,1,2,3,6,0,0,5,11
4,19,Pilot09,577,572,572,7,5,5,582,568,568,4,0,0,2,1,5,12,0,0,7,25
5,20,Pilot08,435,417,417,13,19,13,448,440,440,3,0,0,3,5,2,3,0,0,2,5
6,21,Pilot04,538,470,470,58,70,58,598,508,508,4,0,0,2,2,1,42,0,7,0,86
7,24,Pilot07,390,295,295,54,35,35,441,336,336,3,0,2,2,1,5,71,1,13,9,109
8,25,Pilot06,391,403,391,55,10,10,445,430,430,3,0,1,5,5,1,5,0,0,2,15
9,32,Pliot10,372,319,319,44,43,43,397,350,350,3,0,0,3,2,30,34,4,3,53,54
10,43,Pilot02,404,418,404,43,22,22,447,445,445,3,0,0,5,5,3,1,0,0,3,1
