EasyCap,Mobita,Fp1_E,FP2_E,F7_E,F3_E,Fz_E,F4_E,F8_E,FC5_E,FC1_E,FC2_E,FC6_E,T7_E,C3_E,Cz_E,C4_E,T8_E,CP5_E,CP1_E,CP2_E,CP6_E,P7_E,P3_E,Pz_E,P4_E,P8_E,POz_E,O1_E,O2_E,Fp1_M,FP2_M,F7_M,F3_M,Fz_M,F4_M,F8_M,FC5_M,FC1_M,FC2_M,FC6_M,T7_M,C3_M,Cz_M,C4_M,T8_M,CP5_M,CP1_M,CP2_M,CP6_M,P7_M,P3_M,Pz_M,P4_M,P8_M,POz_M,O1_M,O2_M
2,pilot01,0.007748,0.006736,0.006065,0.006621,0.003664,0.006351,0.009764,0.002803,0.006704,0.00594,0.00432,0.008376,0.004988,0.003318,0.00433,0.0104,0.004721,0.004529,0.001615,0.005117,0.008699,0.008134,0.005047,0.003134,0.005565,0.006514,0.009967,0.003146,0.004241,0.00347,0.001912,0.001573,0.000967,0.000887,0.002001,0.001572,0.000612,0.000686,0.000834,0.003017,0.000535,0.000549,0.002793,0.001352,0.000319,0.000451,0.000283,0.00135,0.00237,0.001698,0.001362,0.001109,0.003329,0.002501,0.006889,0.008971
11,pilot05,0.008694,0.007509,0.005744,0.008092,0.008449,0.010612,0.012842,0.017842,0.013824,0.003581,0.007803,0.007576,0.001477,0.00715,0.002888,0.018725,0.011133,0.005039,0.006356,0.007172,0.008815,0.010932,0.02121,0.003488,0.007782,0.003201,0.006064,0.010978,0.013922,0.07083,0.002004,0.004111,0.002664,0.015497,0.018245,0.004555,0.009608,0.005216,0.015403,0.007952,0.002412,0.001582,0.002022,0.033532,0.003657,0.001434,0.001126,0.005254,0.002653,0.002273,0.003033,0.005232,0.133298,0.004516,0.012086,0.066656
17,pilot03,0.026442,0.022865,0.024699,0.011321,0.013576,0.016822,0.01976,0.026133,0.016668,0.012348,0.008863,0.010764,0.009675,0.008073,0.020315,0.029141,0.012474,0.009883,0.019676,0.010062,0.014303,0.017242,0.015779,0.011452,0.013894,0.008466,0.014071,0.010694,0.00254,0.003129,0.003479,0.002486,0.001927,0.002014,0.003038,0.002005,0.002665,0.002168,0.002731,0.003692,0.003897,0.004086,0.005564,0.006568,0.002194,0.002456,0.001832,0.002184,0.006498,0.002193,0.001913,0.002224,0.015692,0.004078,0.005278,0.003839
19,pilot09,0.004449,0.007614,0.013593,0.00235,0.003688,0.002912,0.006756,0.001598,0.000749,0.002359,0.001644,0.019039,0.001125,0.00155,0.000763,0.007335,0.002201,0.000789,0.000926,0.001539,0.004342,0.001771,0.001148,0.001298,0.003487,0.001683,0.002625,0.002316,0.007709,0.013949,0.012987,0.012494,0.00382,0.011839,0.01592,0.003994,0.002344,0.010486,0.004789,0.006756,0.005677,0.004275,0.003638,0.005155,0.007886,0.008986,0.006361,0.003765,0.118886,0.003544,0.003,0.004919,0.005901,0.009636,0.003347,0.005109
20,pilot08,0.01713,0.006869,0.005912,0.002433,0.002542,0.003168,0.0123,0.019428,0.004805,0.011307,0.008422,0.006004,0.004943,0.007824,0.003768,0.006366,0.004018,0.002861,0.004259,0.006195,0.006358,0.003339,0.005949,0.010002,0.002414,0.004111,0.003631,0.002702,0.043987,0.051716,0.002117,0.001544,0.001115,0.002404,0.007147,0.000715,0.001162,0.000639,0.000981,0.007935,0.000585,0.00175,0.000819,0.001167,0.004322,0.000945,0.001189,0.001078,0.006551,0.001353,0.001011,0.001332,0.002493,0.001865,0.004625,0.003597
21,pilot04,0.020754,0.034624,0.006622,0.008813,0.004591,0.00939,0.0115,0.018475,0.005858,0.005684,0.014471,0.014654,0.007877,0.0072,0.009684,0.017603,0.007689,0.005608,0.00445,0.005933,0.013151,0.013369,0.007704,0.008445,0.005902,0.005124,0.006404,0.007296,0.018083,0.02163,0.081734,0.129019,0.138624,0.120842,0.043087,0.011585,0.262295,0.091479,0.013591,0.025904,0.015792,0.019121,0.013691,0.041191,0.020155,0.048242,0.045445,0.026554,0.015068,0.034486,0.030782,0.04023,0.0311,0.024661,0.024357,0.031382
24,pilot07,0.017322,0.006498,0.007028,0.002862,0.001493,0.003859,0.00762,0.009425,0.003736,0.005107,0.005427,0.008924,0.003034,0.002992,0.004191,0.006258,0.003961,0.002875,0.004074,0.003517,0.015915,0.002727,0.004088,0.002003,0.005048,0.0017,0.018238,0.009319,0.007898,0.002573,0.010339,0.042757,0.004814,0.02059,0.00855,0.011245,0.004579,0.014452,0.059754,0.018402,0.003533,0.004452,0.00336,0.014114,0.013089,0.027452,0.00483,0.003409,0.017839,0.008363,0.00795,0.008245,0.034568,0.006048,0.03007,0.081551
25,pilot06,0.015603,0.005725,0.008521,0.00235,0.001746,0.003344,0.010695,0.002207,0.00089,0.001045,0.002883,0.01835,0.000582,0.001112,0.001801,0.004795,0.001168,0.000491,0.001542,0.001123,0.002461,0.001237,0.000664,0.001198,0.003742,0.001736,0.003594,0.003918,0.023542,0.029412,0.008301,0.009025,0.002613,0.00526,0.014872,0.016966,0.002522,0.009881,0.003171,0.008716,0.036378,0.005792,0.010075,0.017326,0.011678,0.001673,0.002067,0.002282,0.007427,0.004239,0.002803,0.002731,0.003801,0.002722,0.003922,0.005109
32,pilot10,0.041557,0.046924,0.018608,0.013229,0.013742,0.020099,0.061088,0.0725,0.010965,0.018414,0.058497,0.090411,0.015029,0.012043,0.014088,0.108704,0.017723,0.007035,0.0109,0.017883,0.023752,0.016665,0.013403,0.012825,0.019155,0.014118,0.016565,0.009951,0.013194,0.033515,0.024616,0.011966,0.00438,0.017179,0.014676,0.012127,0.015764,0.002911,0.00772,0.025786,0.00274,0.002339,0.002586,0.025371,0.005257,0.002253,0.002242,0.020168,0.021335,0.004642,0.002923,0.003293,0.016075,0.005175,0.005136,0.009619
43,pilot02,0.013721,0.013384,0.003234,0.006744,0.004058,0.014092,0.006494,0.007235,0.012117,0.034524,0.008032,0.021565,0.008915,0.02282,0.007067,0.025523,0.032845,0.03602,0.005044,0.017545,0.029689,0.006098,0.012358,0.043399,0.005886,0.005275,0.005144,0.013751,0.013742,0.005668,0.002581,0.00047,0.000658,0.001737,0.004883,0.001796,0.000694,0.000546,0.003627,0.006604,0.000865,0.000678,0.00327,0.019433,0.001754,0.000518,0.000924,0.009014,0.002795,0.000992,0.000927,0.001751,0.002762,0.000885,0.004526,0.000584
