EasyCap,Mobita,Fp1_E,FP2_E,F7_E,F3_E,Fz_E,F4_E,F8_E,FC5_E,FC1_E,FC2_E,FC6_E,T7_E,C3_E,Cz_E,C4_E,T8_E,CP5_E,CP1_E,CP2_E,CP6_E,P7_E,P3_E,Pz_E,P4_E,P8_E,POz_E,O1_E,O2_E,Fp1_M,FP2_M,F7_M,F3_M,Fz_M,F4_M,F8_M,FC5_M,FC1_M,FC2_M,FC6_M,T7_M,C3_M,Cz_M,C4_M,T8_M,CP5_M,CP1_M,CP2_M,CP6_M,P7_M,P3_M,Pz_M,P4_M,P8_M,POz_M,O1_M,O2_M
2,pilot01,0.011071,0.007393,0.006443,0.009674,0.006858,0.004889,0.004691,0.00695,0.013305,0.008495,0.004394,0.002478,0.008474,0.004373,0.003816,0.006767,0.008875,0.003146,0.005111,0.010521,0.017569,0.012753,0.012228,0.006495,0.00598,0.01184,0.015759,0.002788,0.00601,0.006613,0.000502,0.000277,0.000185,0.000121,0.000569,0.000235,0.000108,0.000139,0.000265,0.000561,0.000276,0.000076,0.000256,0.000452,0.000157,0.000096,0.000113,0.000168,0.000217,0.000148,0.001091,0.00009,0.00181,0.000418,0.000906,0.006455
11,pilot05,0.006561,0.011042,0.004928,0.010793,0.010228,0.013754,0.00762,0.022934,0.010652,0.003026,0.01206,0.011883,0.005273,0.012128,0.002988,0.021634,0.011332,0.006746,0.010375,0.007291,0.010819,0.008559,0.014312,0.002711,0.013398,0.004106,0.005949,0.009702,0.136525,0.038592,0.080473,0.045599,0.026176,3.183432,1.188315,0.043383,0.131777,1.04005,3.169197,0.088853,0.072266,0.063758,0.044989,0.121755,0.068631,0.081889,0.079548,0.03259,0.094569,0.082177,0.084667,0.051849,1.590319,0.096562,0.1059,0.702125
17,pilot03,0.027794,0.009976,0.007433,0.00693,0.008198,0.011602,0.006343,0.007084,0.006769,0.004474,0.004093,0.005607,0.011788,0.008252,0.012663,0.008077,0.014945,0.008628,0.008405,0.007864,0.008512,0.010442,0.00934,0.006644,0.011974,0.005795,0.009684,0.010314,0.019618,0.014208,0.005287,0.004468,0.005988,0.004571,0.004254,0.006372,0.005762,0.004685,0.043834,0.005373,0.005869,0.004655,0.003954,0.004166,0.005028,0.005495,0.004658,0.003893,0.008122,0.005223,0.005277,0.003872,2.869675,0.005304,0.005556,0.004723
19,pilot09,0.00225,0.010412,0.013191,0.013777,0.01587,0.009237,0.006132,0.007603,0.00347,0.009922,0.009232,0.007743,0.013853,0.004395,0.007028,0.00975,0.004402,0.009422,0.008088,0.006137,0.005588,0.014,0.00794,0.004846,0.007678,0.005194,0.00971,0.005494,0.022638,0.01306,0.001607,0.000738,0.000434,0.000901,0.001503,0.00093,0.00017,0.000939,0.00157,0.001009,0.001115,0.000899,0.001395,0.001883,0.003103,0.000796,0.001355,0.001742,0.003567,0.003104,0.00095,0.001893,0.00313,0.016225,0.001841,0.002026
20,pilot08,0.016179,0.011106,0.009513,0.004345,0.01131,0.007927,0.012821,0.019372,0.01289,0.003358,0.003991,0.005164,0.010249,0.013031,0.012564,0.013637,0.008654,0.011004,0.002655,0.004423,0.008301,0.01169,0.011286,0.004476,0.011837,0.01186,0.013437,0.007316,0.014726,0.007819,0.000427,0.00025,0.000084,0.00034,0.000193,0.000078,0.000075,0.000109,0.000238,0.000226,0.000035,0.000304,0.000372,0.000524,0.000153,0.000084,0.000116,0.000488,0.000397,0.000276,0.000294,0.000112,0.000126,0.00024,0.0007,0.000699
21,pilot04,0.007285,0.001035,0.000803,0.004876,0.004033,0.002133,0.004989,0.003009,0.006229,0.000492,0.005732,0.005092,0.003561,0.008122,0.001863,0.008475,0.001062,0.001507,0.002044,0.004048,0.002294,0.001731,0.002197,0.00296,0.000748,0.00079,0.005417,0.003401,0.003588,0.003069,0.000371,0.000504,0.000498,0.000629,0.001412,0.000283,0.000212,0.000168,0.000828,0.000969,0.000228,0.000355,0.000273,0.001194,0.000314,0.000291,0.000494,0.000267,0.000281,0.0003,0.000398,0.000469,0.000312,0.000154,0.000306,0.000485
24,pilot07,0.005052,0.011638,0.011624,0.015472,0.014057,0.014192,0.006364,0.018727,0.009305,0.014161,0.018446,0.003113,0.009317,0.012484,0.024202,0.016421,0.003203,0.012619,0.016563,0.006897,0.012041,0.022089,0.014487,0.006581,0.013745,0.003498,0.005488,0.014628,0.414194,0.379868,0.290579,13.339231,0.251787,0.078303,0.235389,0.032471,0.276542,0.053001,0.111769,0.017378,0.290758,0.286572,0.2489,0.779134,0.273852,0.269781,0.256313,0.015134,0.025279,0.162153,0.236212,0.012278,3.310173,0.205706,0.260421,4.124764
25,pilot06,0.00229,0.002043,0.003164,0.005528,0.001291,0.003295,0.005562,0.0018,0.001855,0.001567,0.006903,0.00927,0.000175,0.005143,0.001063,0.001432,0.00595,0.004234,0.00318,0.001237,0.001433,0.000686,0.006907,0.001687,0.00669,0.008011,0.009675,0.000776,0.316663,0.305374,0.153732,0.02485,0.158786,0.124013,0.124328,5.206656,0.101439,1.685688,0.100434,0.245054,10.310511,0.054536,0.067342,0.028693,0.129147,0.134957,0.12961,0.11431,0.111189,0.090548,0.138308,0.103116,0.074876,0.128238,0.093106,0.126543
32,pilot10,0.006367,0.024206,0.028455,0.023255,0.017819,0.017915,0.016842,0.017533,0.006074,0.024883,0.011269,0.023459,0.012897,0.017395,0.005391,0.018317,0.006987,0.004872,0.004859,0.006045,0.016865,0.024866,0.006726,0.017627,0.00378,0.005977,0.009623,0.005307,0.024098,0.015466,0.079618,0.036285,0.014336,0.007075,0.035938,0.04058,0.027122,0.179711,0.010397,0.177717,0.067208,0.002518,0.002791,0.030407,0.028732,0.04679,0.024113,2.019878,0.072473,0.019867,0.079584,0.007993,0.053774,0.009168,0.045434,0.156786
43,pilot02,0.031781,0.004311,0.000801,0.004961,0.003643,0.025429,0.002255,0.00256,0.002955,0.038963,0.00529,0.018904,0.027753,0.03368,0.002266,0.021093,0.043954,0.030234,0.005675,0.027868,0.020549,0.002743,0.038291,0.035633,0.014777,0.008549,0.006312,0.014519,0.003949,0.003174,0.000656,0.000506,0.000141,0.000685,0.001933,0.001402,0.000184,0.000429,0.001326,0.000957,0.000224,0.000287,0.00335,0.002314,0.000192,0.000157,0.000178,0.001705,0.00036,0.000336,0.00013,0.000141,0.001121,0.000196,0.000641,0.000187
